Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,Y,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059360624,Florenzo,Cat,Domestic Longhair,4y 1m 1d,Blue/,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Available - ITFF Medical,Cat Adoption Condo Rooms,,941010004493596,Cat,,9/15/2021 12:00:00 AM,,,Y,9/18/2025 10:34 AM,28.10,,Condo C,15.60 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466019,Athena,Cat,Domestic Shorthair,7y 15d,Brown/,N,Y,Seized/Signed Over,F,Available,Cat Adoption Condo Rooms,,982126056776434,Cat,,10/1/2018 12:00:00 AM,Tabby/,,Y,10/1/2025 2:59 PM,14.90,,Condo D,10.00 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466027,Zeus,Cat,Domestic Shorthair,7y 15d,Brown/,N,Y,Seized/Signed Over,M,Available,Cat Adoption Condo Rooms,,982126054843880,Cat,,10/1/2018 12:00:00 AM,Tabby/,,Y,10/1/2025 2:59 PM,14.90,,Condo D,15.75 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466033,Ursula,Cat,Domestic Shorthair,7y 6m 14d,Brown/,N,Y,Seized/Signed Over,F,Available,Cat Adoption Condo Rooms,,981020023106313,Cat,,4/2/2018 12:00:00 AM,Tabby/,,Y,10/1/2025 2:59 PM,14.90,,Condo D,11.75 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059466043,Gunther,Cat,Domestic Shorthair,7y 6m 14d,Brown/,N,Y,Seized/Signed Over,M,Available,Cat Adoption Condo Rooms,,981020023093154,Cat,,4/2/2018 12:00:00 AM,Tabby/,,Y,10/1/2025 2:59 PM,14.90,,Condo D,12.25 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059535883,Danny,Cat,Domestic Shorthair,5m 22d,Blue/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Available,Cat Adoption Condo Rooms,,992000003494642,Cat,,4/24/2025 12:00:00 AM,,,Y,10/9/2025 11:52 AM,7.00,MED CLEAR- ON MEDS,Condo E,4.00 pound,No,,3,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059535895,Delia,Cat,Domestic Shorthair,6m 7d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Condo Rooms,,941010004727847,Cat,,4/9/2025 12:00:00 AM,,,Y,10/9/2025 11:52 AM,7.00,MED CLEAR- ON MEDS,Condo E,5.00 pound,No,,1,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059535899,Doris,Cat,Domestic Shorthair,5m 22d,Blue/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Condo Rooms,,941010004736000,Cat,,4/24/2025 12:00:00 AM,,,Y,10/9/2025 11:52 AM,7.00,MED CLEAR- ON MEDS,Condo E,4.00 pound,No,,1,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059535900,Darcy,Cat,Domestic Shorthair,5m 22d,Blue/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Condo Rooms,,941010004756538,Cat,,4/24/2025 12:00:00 AM,,,Y,10/9/2025 11:52 AM,7.00,MED CLEAR- ON MEDS,Condo E,4.50 pound,No,,1,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059535902,Darla,Cat,Domestic Shorthair,5m 22d,Blue/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Cat Adoption Condo Rooms,,941010004741903,Cat,,4/24/2025 12:00:00 AM,,,Y,10/9/2025 11:52 AM,7.00,,Condo E,4.50 pound,No,,2,No,,,,,457
  Cat Adoption Condo Rooms,Avg. LOS: 23,30,A0059548128,Tinkerbell,Cat,Domestic Shorthair,2y 3d,Chocolate/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Available,Cat Adoption Condo Rooms,,941010004775894,Cat,,10/13/2023 12:00:00 AM,Tabby/,,Y,10/13/2025 8:59 AM,3.20,,Condo F,9.75 pound,No,,0,No,,,,,457
