Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Thursday, October 16, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,Y,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Cat Isolation 231,Avg. LOS: 1,4,A0059601726,Jewels,Cat,Domestic Shorthair,2y 2d,Black/Orange,N,N,Seized/Signed Over,F,Hold - Behavior,Cat Isolation 231,,941010004782088,Cat,,10/14/2023 12:00:00 AM,Tortoiseshell/,,Y,10/14/2025 3:01 PM,1.90,medically cleared,Cage 8,8.00 pound,No,,1,No,,,,,457
  Cat Isolation 234,Avg. LOS: 10,6,A0059590897,Hydrant,Cat,Domestic Shorthair,7m 3d,Brown/White,N,N,Stray/OTC,M,Hold - Surgery,Cat Isolation 234,Hydrant,,Cat,,3/13/2025 12:00:00 AM,Tabby/,,N,10/13/2025 10:33 AM,3.10,,Cage 1,5.50 pound,No,,1,No,,,,,457
  Cat Isolation 234,Avg. LOS: 10,6,A0059593477,Stephanie,Cat,Domestic Shorthair,5y 3d,Orange/,N,N,Stray/Abandoned by owner - OTC!,F,Hold - Surgery,Cat Isolation 234,,,Cat,,10/13/2020 12:00:00 AM,Tabby/,,N,10/13/2025 1:52 PM,3.00,waiting on FELK PCR,Cage 2,7.90 pound,No,,0,No,,,,,457
  Cat Isolation 234,Avg. LOS: 10,6,A0059609199,,Cat,Domestic Shorthair,1y 1d,Brown/,N,N,Seized/Eviction,M,Hold - Legal Notice,Cat Isolation 234,,,Cat,,10/15/2024 12:00:00 AM,Tabby/,,N,10/15/2025 2:41 PM,0.90,,Cage 3,10.25 pound,No,,1,No,,,,,457
  Cat Isolation 234,Avg. LOS: 10,6,A0059609191,,Cat,Domestic Shorthair,7m 1d,Blue/,N,N,Seized/Eviction,M,Hold - Legal Notice,Cat Isolation 234,,,Cat,,3/15/2025 12:00:00 AM,,,N,10/15/2025 2:41 PM,0.90,,Cage 4,7.75 pound,No,,1,No,,,,,457
  Cat Isolation 234,Avg. LOS: 10,6,A0059594514,King,Cat,Domestic Shorthair,N/A,Brown/White,N,U,Seized/Abandoned,U,Hold - Legal Notice,Cat Isolation 234,,,Cat,,,Tabby/,,U,10/13/2025 3:20 PM,2.90,,Cage 5,,No,,1,No,,,,,457
  Cat Isolation 234,Avg. LOS: 10,6,A0059241255,Mum,Cat,Domestic Shorthair,6y 1m 20d,Black/,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Doc,Cat Isolation 234,MUM,982126055124162,Cat,,8/26/2019 12:00:00 AM,,,Y,8/27/2025 10:09 AM,50.10,Needs sedated mouth exam /US,Cage 6,13.25 pound,No,,1,No,,,,,457
  Cat Isolation 235,Avg. LOS: 7,2,A0059535896,Raisin,Cat,Domestic Shorthair,5m 22d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Doc,Cat Isolation 235,,992000003494641,Cat,,4/24/2025 12:00:00 AM,,,N,10/9/2025 11:52 AM,7.00,,Cage 6,4.25 pound,No,,0,No,,,,,457
  Cat Isolation 235,Avg. LOS: 7,2,A0059535898,Reggie,Cat,Domestic Shorthair,4m 21d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Hold - Doc,Cat Isolation 235,,982000003494646,Cat,,5/25/2025 12:00:00 AM,,,N,10/9/2025 11:52 AM,7.00,,Cage 6,3.75 pound,No,,0,No,,,,,457
  Cat Recovery,Avg. LOS: 1,2,A0059103560,Boy,Cat,Domestic Shorthair,1y 2m 3d,Black/White,N,N,Clinic/Case - Outreach,M,Clinic Animal,Cat Recovery,,,Cat,,8/13/2024 12:00:00 AM,,,N,10/15/2025 12:47 PM,1.00,,15,,No,,0,No,,,,,457
  Cat Recovery,Avg. LOS: 1,2,A0059103568,Girl,Cat,Domestic Shorthair,1y 2m 3d,Brown/,N,N,Clinic/Case - Outreach,F,Clinic Animal,Cat Recovery,,,Cat,,8/13/2024 12:00:00 AM,Tabby/,,N,10/15/2025 12:47 PM,1.00,,16,,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059215935,Snoozle,Cat,Domestic Shorthair,2m 22d,Brown/White,N,N,Stray/No Hold,M,Hold - Doc,Cat Treatment,,941010004780810,Cat,,7/24/2025 12:00:00 AM,Tabby/,,Y,8/21/2025 4:57 PM,55.80,Recheck Monday,01 - A,3.00 pound,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059226495,Artemis,Cat,Domestic Longhair,2m 20d,White/Grey,N,N,Stray/OTC,F,Hold - Doc,Cat Treatment,,941010004728689,Cat,,7/26/2025 12:00:00 AM,,,Y,8/23/2025 2:02 PM,53.90,recheck 10/20,01 - A,3.25 pound,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059606375,,Cat,Domestic Shorthair,2y 6m 0d,Black/,N,N,Stray/OTC,F,Hold - Stray,Cat Treatment,,,Cat,,4/16/2023 12:00:00 AM,,,Y,10/15/2025 1:55 PM,1.00,,02,7.00 pound,No,,1,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059605590,Sienna,Cat,Domestic Shorthair,1y 6m 0d,Grey/White,N,N,Stray/No Hold,F,Hold - Doc,Cat Treatment,,,Cat,,4/16/2024 12:00:00 AM,,,N,10/15/2025 9:24 AM,1.10,TX,03 - B,2.75 pound,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059592726,Pelusa Madre,Cat,Domestic Shorthair,2y 3d,Grey/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Pending Foster Pickup,Cat Treatment,,941010004065227,Cat,,10/13/2023 12:00:00 AM,Tortoiseshell/,,N,10/14/2025 2:13 PM,1.90,,04,6.00 pound,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059592734,,Cat,Domestic Shorthair,6d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Pending Foster Pickup,Cat Treatment,,,Cat,,10/10/2025 12:00:00 AM,,,N,10/14/2025 2:13 PM,1.90,,04,5.70 ounce,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059367617,Ella,Cat,Domestic Longhair,12y 1m 0d,Black/Brown,N,U,Seized/Signed Over,F,Hold - Doc,Cat Treatment,Yella,941010004625584,Cat,,9/16/2013 12:00:00 AM,,,Y,9/16/2025 2:41 PM,29.90,,05 - A,5.20 pound,No,,1,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059026404,Maxcy,Cat,Domestic Shorthair,2m 12d,White/Grey,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Hold - Doc,Cat Treatment,,,Cat,Mix,8/4/2025 12:00:00 AM,,,N,10/11/2025 5:09 PM,4.80,Calici virus,05 - B,2.75 pound,No,,1,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059609333,,Cat,Balinese,12y 1d,Blue/,N,Y,Stray/Field,M,Hold - Stray,Cat Treatment,STEWART,,Cat,Mix,10/15/2013 12:00:00 AM,Point/,,Y,10/15/2025 2:44 PM,0.90,,06,6.75 pound,No,,1,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059554617,Daisy Blue,Cat,Domestic Shorthair,1m 14d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Hold - Doc,Cat Treatment,,,Cat,Mix,9/2/2025 12:00:00 AM,,,N,10/7/2025 10:21 AM,9.10,,A,14.40 ounce,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059605350,Aki,Cat,Domestic Shorthair,2m 1d,Brown/,N,N,Stray/No Hold,F,Hold - Doc,Cat Treatment,,,Cat,Mix,8/15/2025 12:00:00 AM,Tabby/,,N,10/15/2025 8:40 AM,1.20,injured,B,1.75 pound,No,,0,No,,,,,457
  Cat Treatment,Avg. LOS: 16,12,A0059394201,,Cat,Domestic Shorthair,1m 4d,Brown/,N,N,Stray/No Hold,F,Hold - Doc,Cat Treatment,,,Cat,Mix,9/12/2025 12:00:00 AM,Tabby/,,N,9/19/2025 1:46 PM,27.00,,H,11.60 ounce,No,,0,No,,,,,457
  Dog Adoptions A,Avg. LOS: 3,1,A0059400584,Rico,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",2y 26d,Black/,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Hold - Behavior Mod.,Dog Adoptions A,,,Dog,Mix,9/20/2023 12:00:00 AM,,,Y,10/13/2025 2:29 PM,2.90,behavior to evaluate,09,,No,,0,No,,,,,457
  Dog Adoptions B,Avg. LOS: 32,5,A0059370437,Trouble,Dog,"Terrier, Jack Russell",5y 29d,White/,N,N,Seized/Eviction,M,Hold - Possible Adoption,Dog Adoptions B,,956000012589048,Dog,Mix,9/17/2020 12:00:00 AM,,,Y,9/16/2025 1:31 PM,30.00,,01,15.50 pound,No,,3,No,,,,,457
  Dog Adoptions B,Avg. LOS: 32,5,A0059100571,Dior,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",5y 8m 5d,Blue/White,N,Y,Return/Owned 30 Days or Less - OTC!,F,Hold - Trocaire,Dog Adoptions B,,999001912000997,Dog,Mix,2/11/2020 12:00:00 AM,,,Y,9/22/2025 12:32 PM,24.00,,05,60.00 pound,No,,3,No,,,,,457
  Dog Adoptions B,Avg. LOS: 32,5,A0059050717,Sassy,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",2y 1m 7d,White/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Behavior Mod.,Dog Adoptions B,,941010003933014,Dog,Mix,9/9/2023 12:00:00 AM,,,Y,9/5/2025 12:58 PM,41.00,,06,40.20 pound,No,,0,No,,,,,457
  Dog Adoptions B,Avg. LOS: 32,5,A0059363934,Mochi,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",1y 1m 24d,White/Tan,N,N,Transfer In/Buffalo City Animal Shelter,F,Available,Dog Adoptions B,A0059123236,941010004487064,Dog,Mix,8/22/2024 12:00:00 AM,,,Y,9/15/2025 2:57 PM,30.90,,08,45.50 pound,No,,3,Yes,,,,,457
  Dog Adoptions B,Avg. LOS: 32,5,A0059088015,Kash,Dog,Akita,2y 2m 5d,Tan/Black,N,Y,Return/Owned 30 Days or Less - OTC!,M,Hold - Trocaire,Dog Adoptions B,,981020039868319,Dog,Mix,8/11/2023 12:00:00 AM,,,Y,9/12/2025 1:56 PM,34.00,,09,89.00 pound,No,,3,Yes,,,,,457
  Dog Adoptions C,Avg. LOS: 31,5,A0054611733,Bella,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 4m 28d,Black/White,N,Y,Return/Owned More than 30 Days - OTC!,F,Hold - Trocaire,Dog Adoptions C,BUSHY,985113008127102,Dog,Mix,5/18/2023 12:00:00 AM,,,Y,9/29/2025 2:54 PM,16.90,,04,58.20 pound,No,,3,Yes,,,,,457
  Dog Adoptions C,Avg. LOS: 31,5,A0059404954,Twilight,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",7m 24d,Black/,N,N,Transfer In/Bissell Transport,F,Hold - Trocaire,Dog Adoptions C,,941010003892518,Dog,Mix,2/22/2025 12:00:00 AM,,,Y,9/24/2025 12:55 PM,22.00,,05,30.60 pound,No,,3,No,,,,,457
  Dog Adoptions C,Avg. LOS: 31,5,A0059466909,Blanco,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 14d,White/Tan,N,N,Seized/Eviction,M,Available,Dog Adoptions C,Blanco,941010004725332,Dog,Mix,10/2/2023 12:00:00 AM,,,Y,10/1/2025 12:37 PM,15.00,,06,64.40 pound,No,,3,No,,,,,457
  Dog Adoptions C,Avg. LOS: 31,5,A0059077128,Bruce,Dog,German Shepherd,4y 2m 2d,Black/Tan,N,N,Seized/Signed Over,M,Hold - Trocaire,Dog Adoptions C,,900235000292789,Dog,Mix,8/14/2021 12:00:00 AM,,,Y,8/9/2025 10:30 AM,68.10,,08,59.00 pound,No,,3,No,,,,,457
  Dog Adoptions C,Avg. LOS: 31,5,A0059363890,Coco,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 1m 6d,White/Tan,N,N,Transfer In/Buffalo City Animal Shelter,F,Hold - Trocaire,Dog Adoptions C,A0059279573,941000028882386,Dog,Mix,9/10/2023 12:00:00 AM,,,Y,9/15/2025 2:57 PM,30.90,,09,50.50 pound,No,,3,No,,,,,457
  Dog Adoptions D,Avg. LOS: 30,5,A0059368544,Anya,Dog,Siberian Husky,1y 0d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available,Dog Adoptions D,,941010005068764,Dog,Mix,10/16/2024 12:00:00 AM,,,Y,9/26/2025 9:39 AM,20.10,,01,38.00 pound,No,,3,No,,,,,457
  Dog Adoptions D,Avg. LOS: 30,5,A0058997270,Fallon,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 1m 28d,Grey/Fawn,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Available - ITFF Behavior,Dog Adoptions D,FALCOR,941010004495558,Dog,Mix,8/18/2023 12:00:00 AM,Brindle/,,Y,7/30/2025 10:37 AM,78.10,,04,55.60 pound,No,,3,Yes,,,,,457
  Dog Adoptions D,Avg. LOS: 30,5,A0059465627,Valentino,Dog,Great Dane,3y 15d,Black/,N,N,Seized/Signed Over,M,Available,Dog Adoptions D,,941010004723278,Dog,Mix,10/1/2022 12:00:00 AM,,,Y,10/1/2025 10:50 AM,15.10,,08,100.00 pound,No,,3,No,,,,,457
  Dog Adoptions D,Avg. LOS: 30,5,A0059427765,Albi,Dog,Shepherd,6y 6d,Tan/Black,N,N,Seized/Eviction,M,Available,Dog Adoptions D,,941010004781246,Dog,Mix,10/10/2019 12:00:00 AM,,,Y,9/25/2025 10:10 AM,21.10,,09,52.40 pound,No,,3,No,,,,,457
  Dog Adoptions D,Avg. LOS: 30,5,A0059265092,King Condrell,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 4m 16d,White/Black,N,Y,Return/Owned 30 Days or Less - OTC!,M,Hold - Bite/Scratch,Dog Adoptions D,,941010004601025,Dog,Mix,5/30/2023 12:00:00 AM,Spotted/,,Y,10/2/2025 11:43 AM,14.00,,10,62.60 pound,No,,3,No,,,,,457
  Dog Holding E,Avg. LOS: 13,7,A0059460059,London,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",4y 16d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Doc,Dog Holding E,,,Dog,Mix,9/30/2021 12:00:00 AM,,,N,10/7/2025 12:34 PM,9.00,,02,8.80 pound,No,,0,No,,,,,457
  Dog Holding E,Avg. LOS: 13,7,A0059368540,Husk,Dog,Siberian Husky,1y 0d,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Hold - Behavior Mod.,Dog Holding E,,941010004740733,Dog,Mix,10/16/2024 12:00:00 AM,,,Y,9/26/2025 9:39 AM,20.10,,04,43.00 pound,No,,1,No,,,,,457
  Dog Holding E,Avg. LOS: 13,7,A0059578521,Shadow,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",3y 6d,Red/,N,Y,Seized/Signed Over,M,Hold - Behavior Mod.,Dog Holding E,,,Dog,Mix,10/10/2022 12:00:00 AM,,,Y,10/10/2025 11:38 AM,6.00,PTS BOARD SAYS HOLD OFF,07,,No,,1,No,,,,,457
  Dog Holding E,Avg. LOS: 13,7,A0059413793,Jasmine,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",10y 22d,Grey/White,N,Y,Seized/Eviction,F,Hold - Doc,Dog Holding E,,941010005048302,Dog,Mix,9/24/2015 12:00:00 AM,,,Y,9/23/2025 12:33 PM,23.00,DOC RECHEK 10/10,08,19.00 pound,No,,1,No,,,,,457
  Dog Holding E,Avg. LOS: 13,7,A0059413866,Bennie,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",4y 4m 8d,Brown/White,N,U,Seized/Eviction,M,Hold - Behavior,Dog Holding E,,941010004720273,Dog,Mix,6/8/2021 12:00:00 AM,,,Y,9/23/2025 12:33 PM,23.00,medically cleared,08,85.00 pound,No,,1,No,,,,,457
  Dog Holding E,Avg. LOS: 13,7,A0059460052,Dolce,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",1y 16d,Cream/Brown,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Hold - Doc,Dog Holding E,,941010004735640,Dog,Mix,9/30/2024 12:00:00 AM,Tricolor/,,N,10/7/2025 12:34 PM,9.00,weight gain,09,24.00 pound,No,,0,No,,,,,457
  Dog Holding E,Avg. LOS: 13,7,A0059594921,Storm E Girl,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",6y 5m 25d,Black/White,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Evaluate,Dog Holding E,,,Dog,Mix,4/21/2019 12:00:00 AM,,,Y,10/14/2025 9:57 AM,2.10,,10,75.00 pound,No,,1,No,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0059569686,Missy,Dog,Pug,13y 7d,Tan/Black,N,Y,Seized/Signed Over,F,Hold - Behavior,Dog Holding F,,941010004789905,Dog,"Griffon, Brussels",10/9/2012 12:00:00 AM,,,Y,10/9/2025 9:00 AM,7.10,clear,02,24.00 pound,No,,0,No,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0044301017,Gucci,Dog,Maltese,11y 4m 2d,White/Beige,N,N,Seized/Signed Over,M,Hold - Doc,Dog Holding F,,956000009322748,Dog,"Poodle, Miniature",6/14/2014 12:00:00 AM,,,N,10/2/2025 2:28 PM,13.90,See LMW/81,05,11.60 pound,No,,0,No,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0055408647,Chad,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",5y 8m 29d,Brown/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Hold - Doc,Dog Holding F,CHINX,900235000355315,Dog,Mix,1/17/2020 12:00:00 AM,,,Y,9/15/2025 10:26 AM,31.10,,06,51.00 pound,No,,3,Yes,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0051829954,Maddox,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",4y 9m 9d,Blue/White,N,Y,Return/Owned More than 30 Days - OTC!,M,PTS,Dog Holding F,SNOWFLAKE,982091072367905,Dog,Mix,1/7/2021 12:00:00 AM,,,Y,10/9/2025 9:59 AM,7.10,,07,95.00 pound,No,,3,Yes,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0059451430,Sam,Dog,"Terrier, Pit Bull",10m 18d,Tan/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,M,Hold - Doc,Dog Holding F,,941010004731586,Dog,Mix,11/29/2024 12:00:00 AM,,,Y,9/29/2025 2:19 PM,16.90,doc notes,08,50.00 pound,No,,1,No,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0059597518,,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",3y 2d,Black/,N,N,Transfer In/ACO or DCO in County,F,Evaluate,Dog Holding F,25-146-A,,Dog,Mix,10/14/2022 12:00:00 AM,,,N,10/16/2025 10:10 AM,0.10,,10,70.00 pound,No,,0,No,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0059598789,DANIEL,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",1y 0d,Black/White,N,N,Transfer In/ACO or DCO in County,M,Hold - Surgery,Dog Holding F,25-155-A,941010004005606,Dog,Mix,10/16/2024 12:00:00 AM,,,N,10/16/2025 10:03 AM,0.10,needs neuter,11,51.50 pound,No,,0,No,,,,,457
  Dog Holding F,Avg. LOS: 10,8,A0059569679,Onyx,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",10m 5d,Black/,N,Y,Seized/Signed Over,F,Hold - Behavior Mod.,Dog Holding F,,941010004762385,Dog,Mix,12/11/2024 12:00:00 AM,,,Y,10/9/2025 9:00 AM,7.10,shy and fearful needs time,12,55.60 pound,No,,0,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059186760,,Bird,Duck,N/A,Yellow/White,N,N,Stray/OTC,U,In Foster to Adopt,Farm,,,Farm Type Fowl,,,,,N,8/17/2025 8:43 AM,60.20,,Foster Farm,,No,,3,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059186762,,Bird,Duck,N/A,Yellow/White,N,N,Stray/OTC,U,In Foster to Adopt,Farm,,,Farm Type Fowl,,,,,N,8/17/2025 8:43 AM,60.20,,Foster Farm,,No,,3,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059186763,,Bird,Duck,N/A,Yellow/White,N,N,Stray/OTC,U,In Foster to Adopt,Farm,,,Farm Type Fowl,,,,,N,8/17/2025 8:43 AM,60.20,,Foster Farm,,No,,3,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059303684,,Bird,Chicken,N/A,Black/White,N,N,Seized/Signed Over,M,Available,Farm,,,Farm Type Fowl,Chicken,,,,N,9/5/2025 12:28 PM,41.00,,Outer Bird Run #3,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059303718,,Bird,Chicken,N/A,Mahogany/Black,N,N,Seized/Signed Over,M,Available,Farm,,,Farm Type Fowl,Chicken,,,,N,9/5/2025 12:28 PM,41.00,,Outer Bird Run #3,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0036675257,Brooster,Bird,Chicken,8y 6m 15d,Rust/Black/Red,N,N,Stray/Field,M,Permanent Resident,Farm,,,Farm Type Fowl,,4/1/2017 12:00:00 AM,,,N,9/28/2017 11:11 AM,2940.00,,Stall #1,,No,,3,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0038590512,Lady Marmalade,Bird,Chicken,7y 5m 26d,Apricot/White,N,N,Stray/OTC,F,Permanent Resident,Farm,,,Farm Type Fowl,,4/20/2018 12:00:00 AM,,,N,5/17/2018 3:28 PM,2708.90,,Stall #1,,No,,2,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0041015190,Frenchy,Bird,Chicken,N/A,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Permanent Resident,Farm,,,Farm Type Fowl,,,,,N,3/7/2019 11:08 AM,2415.00,,Stall #1,,No,,2,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0054810701,Itty Bitty Betty,Bird,Chicken,N/A,Black/,N,N,Stray/OTC,F,Permanent Resident,Farm,,,Farm Type Fowl,,,,,N,11/18/2023 12:17 PM,698.00,,Stall #1,,No,,2,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0054953947,Iris,Bird,Chicken,N/A,Lavender/,N,N,Seized/Cruelty,F,Permanent Resident,Farm,Garage 138,,Farm Type Fowl,,,,,N,12/14/2023 5:59 PM,671.80,Clear for dispo- Signed Over 8,Stall #1,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0057300395,"Emerson ""Emmy""",Bird,Chicken,1y 10m 20d,White/Cream,,U,Stray/OTC,F,Permanent Resident,Farm,,,Farm Type Fowl,,11/26/2023 12:00:00 AM,,,U,11/19/2024 8:45 AM,331.20,,Stall #1,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0054953161,Bonnie,Livestock,Nubian,N/A,Brown/White,N,N,Owner/Guardian Surrender/Court Ordered Sign Over,F,Permanent Resident,Farm,Garage 18,,Goat,Boer,,,,N,2/2/2024 3:54 PM,621.90,S/O Cleared For Dispo,Stall #2,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0054953163,Clara,Livestock,Boer,2y 1m 1d,White/Black,N,N,Owner/Guardian Surrender/Court Ordered Sign Over,F,Permanent Resident,Farm,Garage 19,,Goat,Nubian,9/15/2023 12:00:00 AM,,,N,2/2/2024 3:54 PM,621.90,,Stall #2,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059443417,Madam Sophia,Bird,Chicken,N/A,Red/,,N,Stray/OTC,F,Available,Farm,,,Farm Type Fowl,,,,,N,9/27/2025 12:03 PM,19.00,,Stall #2,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059464588,Papi,Bird,Chicken,6m 1d,Brown/Golden/Black,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Available,Farm,,,Farm Type Fowl,Chicken,4/15/2025 12:00:00 AM,Dapple/,,N,10/1/2025 12:04 PM,15.00,,Stall #2,,No,,1,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0000782604,Xylord,Equine,Miniature Horse,32y 4m 15d,Black/White,N,Y,Seized/Cruelty,M,Permanent Resident,Farm,,,Mini Horse,,6/1/1993 12:00:00 AM,,,Y,12/22/1997 12:09 AM,10160.50,,Stall #5,,No,,3,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0058972687,Kahlua,Miniature Pig,Kune Kune Mini-pig,1y 2m 22d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Doc,Farm,,,Miniature Pig,,7/24/2024 12:00:00 AM,,,N,7/29/2025 11:43 AM,79.00,,Stall #6,181.00 pound,No,,3,No,,,,,457
  Farm,Avg. LOS: 1199,18,A0059286626,Letti,Equine,Appaloosa,12y 9m 15d,White/Red,N,N,Seized/Protective Custody,F,Hold - Doc,Farm,,,Horse,Pinto/Paint,1/1/2013 12:00:00 AM,Roan/Spotted,,N,9/3/2025 10:52 AM,43.10,,Turnout Paddock,1074.00 pound,No,,3,No,,,,,457
  Feature Room 1,Avg. LOS: 56,1,A0058949368,Petal,Cat,Domestic Shorthair,1y 1m 25d,Black/Orange,N,N,Stray/OTC,F,Available,Feature Room 1,,941010004964626,Cat,,8/21/2024 12:00:00 AM,Calico/,,Y,8/21/2025 3:47 PM,55.90,,Feature Room 1,8.00 pound,No,,0,No,,,,,457
  Feature Room 2,Avg. LOS: 48,1,A0059213481,Luka,Cat,Domestic Longhair,10y 1m 17d,Black/,N,Y,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,M,Available,Feature Room 2,,,Cat,,8/29/2015 12:00:00 AM,,,Y,8/29/2025 2:37 PM,47.90,,Feature Room 2,11.00 pound,No,,3,No,,,,,457
  Foster Care Room,Avg. LOS: 31,25,A0058914263,,Cat,Domestic Shorthair,3m 2d,Grey/,N,N,Seized/Abandoned,F,Hold - Surgery,Foster Care Room,,941010004522313,Cat,,7/14/2025 12:00:00 AM,,,N,7/15/2025 3:20 PM,92.90,,01,2.80 pound,No,,0,No,,,,,457
  Foster Care Room,Avg. LOS: 31,25,A0058914271,Pancake,Cat,Domestic Shorthair,3m 2d,Brown/,N,N,Seized/Abandoned,M,Hold - Surgery,Foster Care Room,,941010004494557,Cat,,7/14/2025 12:00:00 AM,Tabby/,,N,7/15/2025 3:20 PM,92.90,,01,2.90 pound,No,,0,No,,,,,457
